200 19900
1 2 3
1 3 4
1 4 3
1 5 1
1 6 3
1 7 1
1 8 2
1 9 5
1 10 3
1 11 3
1 12 5
1 13 2
1 14 5
1 15 4
1 16 2
1 17 2
1 18 2
1 19 3
1 20 4
1 21 3
1 22 1
1 23 5
1 24 2
1 25 5
1 26 1
1 27 2
1 28 4
1 29 2
1 30 5
1 31 3
1 32 3
1 33 1
1 34 3
1 35 2
1 36 3
1 37 5
1 38 1
1 39 5
1 40 2
1 41 3
1 42 3
1 43 3
1 44 5
1 45 5
1 46 5
1 47 3
1 48 4
1 49 5
1 50 5
1 51 5
1 52 1
1 53 1
1 54 3
1 55 1
1 56 5
1 57 4
1 58 1
1 59 1
1 60 1
1 61 2
1 62 5
1 63 2
1 64 4
1 65 3
1 66 4
1 67 1
1 68 4
1 69 3
1 70 1
1 71 3
1 72 4
1 73 1
1 74 3
1 75 2
1 76 4
1 77 3
1 78 1
1 79 2
1 80 3
1 81 3
1 82 2
1 83 3
1 84 2
1 85 1
1 86 4
1 87 3
1 88 3
1 89 1
1 90 4
1 91 3
1 92 5
1 93 1
1 94 2
1 95 3
1 96 1
1 97 5
1 98 2
1 99 2
1 100 2
1 101 1
1 102 1
1 103 2
1 104 2
1 105 3
1 106 4
1 107 4
1 108 5
1 109 1
1 110 4
1 111 1
1 112 1
1 113 5
1 114 2
1 115 3
1 116 5
1 117 3
1 118 4
1 119 5
1 120 4
1 121 4
1 122 1
1 123 5
1 124 3
1 125 2
1 126 1
1 127 1
1 128 1
1 129 1
1 130 2
1 131 2
1 132 5
1 133 4
1 134 4
1 135 3
1 136 5
1 137 5
1 138 5
1 139 5
1 140 4
1 141 3
1 142 1
1 143 1
1 144 5
1 145 3
1 146 5
1 147 5
1 148 1
1 149 5
1 150 2
1 151 4
1 152 3
1 153 4
1 154 3
1 155 5
1 156 5
1 157 4
1 158 3
1 159 4
1 160 1
1 161 3
1 162 4
1 163 2
1 164 5
1 165 3
1 166 5
1 167 5
1 168 2
1 169 4
1 170 5
1 171 5
1 172 3
1 173 3
1 174 4
1 175 3
1 176 3
1 177 4
1 178 5
1 179 4
1 180 3
1 181 2
1 182 2
1 183 5
1 184 5
1 185 2
1 186 2
1 187 4
1 188 4
1 189 2
1 190 4
1 191 2
1 192 5
1 193 5
1 194 2
1 195 4
1 196 3
1 197 2
1 198 4
1 199 4
1 200 3
2 3 4
2 4 5
2 5 2
2 6 2
2 7 5
2 8 4
2 9 5
2 10 4
2 11 2
2 12 3
2 13 4
2 14 2
2 15 2
2 16 4
2 17 2
2 18 5
2 19 4
2 20 5
2 21 5
2 22 5
2 23 3
2 24 2
2 25 2
2 26 4
2 27 2
2 28 4
2 29 3
2 30 2
2 31 4
2 32 1
2 33 5
2 34 2
2 35 4
2 36 3
2 37 5
2 38 4
2 39 4
2 40 3
2 41 3
2 42 1
2 43 5
2 44 3
2 45 4
2 46 5
2 47 3
2 48 1
2 49 4
2 50 1
2 51 4
2 52 4
2 53 3
2 54 3
2 55 3
2 56 1
2 57 5
2 58 2
2 59 3
2 60 1
2 61 3
2 62 5
2 63 5
2 64 3
2 65 5
2 66 1
2 67 4
2 68 4
2 69 3
2 70 3
2 71 1
2 72 3
2 73 1
2 74 5
2 75 2
2 76 2
2 77 1
2 78 1
2 79 5
2 80 2
2 81 2
2 82 5
2 83 1
2 84 1
2 85 3
2 86 1
2 87 4
2 88 1
2 89 1
2 90 5
2 91 1
2 92 3
2 93 5
2 94 5
2 95 4
2 96 5
2 97 5
2 98 4
2 99 2
2 100 2
2 101 5
2 102 5
2 103 1
2 104 5
2 105 4
2 106 2
2 107 5
2 108 1
2 109 1
2 110 4
2 111 1
2 112 4
2 113 4
2 114 3
2 115 3
2 116 2
2 117 3
2 118 5
2 119 4
2 120 4
2 121 5
2 122 4
2 123 4
2 124 5
2 125 5
2 126 2
2 127 5
2 128 1
2 129 5
2 130 1
2 131 2
2 132 4
2 133 2
2 134 2
2 135 5
2 136 5
2 137 2
2 138 2
2 139 5
2 140 4
2 141 2
2 142 1
2 143 1
2 144 1
2 145 3
2 146 5
2 147 2
2 148 2
2 149 1
2 150 4
2 151 5
2 152 1
2 153 2
2 154 2
2 155 1
2 156 2
2 157 2
2 158 3
2 159 1
2 160 5
2 161 3
2 162 4
2 163 4
2 164 1
2 165 4
2 166 1
2 167 2
2 168 5
2 169 4
2 170 5
2 171 3
2 172 4
2 173 1
2 174 2
2 175 3
2 176 5
2 177 1
2 178 2
2 179 1
2 180 3
2 181 1
2 182 3
2 183 2
2 184 3
2 185 2
2 186 5
2 187 3
2 188 2
2 189 5
2 190 2
2 191 3
