400 760
303 51 4
303 373 5
51 73 5
51 239 5
73 271 5
73 54 2
271 233 5
271 308 4
233 45 4
233 272 2
45 347 2
45 102 3
347 155 2
347 372 3
155 254 4
155 384 3
254 390 4
254 27 4
390 132 1
390 359 1
132 261 5
132 201 1
261 204 3
261 134 2
204 34 4
204 62 4
34 379 5
34 399 1
379 245 1
379 193 1
245 345 3
245 358 1
345 363 5
345 269 1
363 148 4
363 375 2
148 265 2
148 101 3
265 59 5
373 239 5
373 270 1
239 54 4
239 46 4
54 308 3
54 97 3
308 272 2
308 144 1
272 102 1
272 389 2
102 372 4
102 52 2
372 384 5
372 78 3
384 27 5
384 350 3
27 359 1
27 286 3
359 201 4
359 250 2
201 134 2
201 357 1
134 62 4
134 198 3
62 399 4
62 177 1
399 193 1
399 3 1
193 358 2
193 1 1
358 269 5
358 192 5
269 375 4
269 202 5
375 101 4
375 108 5
101 59 5
101 247 3
59 165 5
270 46 3
270 147 5
46 97 3
46 230 4
97 144 5
97 56 1
144 389 5
144 81 3
389 52 1
389 84 4
52 78 3
52 9 1
78 350 1
78 153 1
350 286 1
350 47 4
286 250 1
286 284 1
250 357 3
250 381 2
357 198 2
357 65 5
198 177 1
198 294 1
177 3 5
177 311 2
3 1 2
3 396 1
1 192 1
1 323 4
192 202 3
192 299 1
202 108 3
202 243 2
108 247 2
108 87 1
247 165 1
247 300 1
165 249 4
147 230 5
147 320 4
230 56 4
230 175 5
56 81 4
56 139 4
81 84 4
81 282 3
84 9 3
84 180 3
9 153 1
9 83 5
153 47 4
153 246 1
47 284 4
47 296 3
284 381 4
284 337 2
381 65 5
381 167 2
65 294 5
65 339 3
294 311 5
294 259 1
311 396 2
311 25 5
396 323 5
396 145 2
323 299 1
323 392 3
299 243 2
299 248 3
243 87 3
243 231 5
87 300 3
87 69 5
300 249 1
300 197 4
249 151 1
320 175 3
320 57 4
175 139 3
175 179 2
139 282 3
139 332 2
282 180 2
282 312 5
180 83 5
180 20 4
83 246 2
83 356 3
246 296 4
246 125 1
296 337 3
296 328 3
337 167 5
337 116 2
167 339 4
167 172 1
339 259 3
339 371 5
259 25 1
259 322 4
25 145 3
25 74 2
145 392 1
145 346 3
392 248 4
392 4 1
248 231 5
248 266 1
231 69 3
231 369 2
69 197 4
69 364 4
197 151 2
197 331 1
151 235 1
57 179 2
57 253 5
179 332 4
179 244 3
332 312 4
332 133 5
312 20 5
312 141 5
20 356 2
20 119 3
356 125 5
356 251 2
125 328 1
125 349 4
328 116 5
328 292 3
116 172 3
116 212 1
172 371 3
172 48 3
371 322 5
371 149 1
322 74 1
322 128 4
74 346 2
74 28 2
346 4 1
346 370 5
4 266 2
4 194 5
266 369 5
266 330 1
369 364 4
369 398 5
364 331 5
364 258 4
331 235 1
331 306 4
235 394 4
253 244 4
253 214 4
244 133 4
244 216 5
133 141 2
133 39 1
141 119 5
141 327 3
119 251 2
119 30 4
251 349 3
251 90 5
349 292 4
349 99 4
292 212 2
292 120 5
212 48 4
212 135 3
48 149 2
48 13 3
149 128 1
149 169 4
128 28 5
128 68 2
28 370 4
28 109 5
370 194 3
370 85 3
194 330 2
194 223 1
330 398 4
330 199 1
398 258 2
398 31 4
258 306 5
258 218 4
306 394 5
306 340 5
394 393 2
214 216 4
214 184 5
216 39 2
216 26 2
39 327 4
39 242 2
327 30 1
327 263 3
30 90 2
30 382 2
90 99 5
90 181 5
99 120 3
99 385 1
120 135 1
120 220 1
135 13 5
135 185 1
13 169 3
13 41 5
169 68 3
169 319 1
68 109 2
68 157 2
109 85 4
109 377 2
85 223 3
85 305 2
223 199 1
223 105 4
199 31 2
199 76 3
31 218 5
31 313 2
218 340 3
218 186 2
340 393 1
340 136 1
393 166 2
184 26 4
184 397 4
26 242 3
26 289 1
242 263 4
242 146 3
263 382 3
263 366 4
382 181 1
382 376 4
181 385 3
181 150 5
385 220 3
385 127 5
220 185 2
220 205 4
185 41 2
185 71 2
41 319 5
41 227 1
319 157 2
319 173 4
157 377 3
157 55 4
377 305 1
377 226 4
305 105 4
305 63 3
105 76 4
105 92 3
76 313 2
76 170 5
313 186 1
313 182 5
186 136 3
186 232 1
136 166 1
136 257 3
166 211 5
397 289 2
397 355 2
289 146 1
289 361 4
146 366 5
146 159 4
366 376 3
366 240 1
376 150 2
376 348 1
150 127 5
150 96 1
127 205 2
127 293 4
205 71 1
205 93 2
71 227 1
71 383 4
227 173 1
227 295 1
173 55 1
173 264 5
55 226 3
55 187 4
226 63 2
226 8 1
63 92 2
63 277 2
92 170 3
92 336 1
170 182 2
170 285 4
182 232 4
182 61 2
232 257 4
232 354 4
257 211 4
257 234 1
211 89 4
355 361 3
355 341 3
361 159 5
361 256 5
159 240 4
159 344 3
240 348 5
240 121 4
348 96 3
348 362 2
96 293 2
96 215 2
293 93 4
293 38 3
93 383 2
93 229 5
383 295 3
383 163 5
295 264 3
295 307 2
264 187 2
264 281 4
187 8 4
187 290 1
8 277 4
8 283 3
277 336 2
277 21 2
336 285 3
336 160 2
285 61 4
285 255 5
61 354 1
61 152 1
354 234 2
354 237 1
234 89 3
234 162 4
89 400 3
341 256 4
341 217 2
256 344 3
256 208 4
344 121 5
344 262 1
121 362 4
121 174 5
362 215 3
362 113 1
215 38 2
215 19 4
38 229 5
38 154 1
229 163 5
229 12 4
163 307 3
163 333 1
307 281 3
307 324 4
281 290 3
281 206 1
290 283 4
290 80 4
283 21 5
283 203 5
21 160 3
21 260 5
160 255 3
160 236 5
255 152 3
255 343 1
152 237 5
152 67 5
237 162 2
237 10 2
162 400 3
162 60 2
400 335 2
217 208 3
217 5 5
208 262 2
208 95 3
262 174 4
262 49 2
174 113 2
174 94 4
113 19 4
113 252 4
19 154 3
19 274 3
154 12 4
154 33 5
12 333 2
12 156 2
333 324 2
333 129 4
324 206 4
324 122 3
206 80 4
206 228 5
80 203 3
80 131 1
203 260 4
203 82 2
260 236 2
260 53 5
236 343 5
236 329 1
343 67 2
343 29 5
67 10 4
67 353 2
10 60 3
10 210 4
60 335 3
60 107 2
335 338 2
5 95 5
5 395 2
95 49 5
95 22 3
49 94 5
49 219 5
94 252 2
94 351 2
252 274 3
252 267 3
274 33 4
274 387 3
33 156 2
33 368 4
156 129 5
156 40 2
129 122 4
129 189 1
122 228 4
122 14 4
228 131 3
228 190 1
131 82 5
131 309 5
82 53 5
82 221 2
53 329 1
53 6 4
329 29 4
329 86 3
29 353 3
29 316 5
353 210 4
353 279 2
210 107 2
210 79 1
107 338 1
107 115 4
338 171 5
395 22 5
395 124 4
22 219 5
22 302 4
219 351 1
219 104 4
351 267 3
351 91 5
267 387 1
267 200 5
387 368 4
387 275 1
368 40 4
368 378 3
40 189 2
40 207 5
189 14 5
189 88 5
14 190 4
14 222 5
190 309 5
190 143 5
309 221 1
309 112 4
221 6 4
221 391 1
6 86 3
6 278 3
86 316 2
86 365 3
316 279 1
316 188 4
279 79 2
279 66 3
79 115 3
79 380 4
115 171 3
115 100 3
171 72 1
124 302 2
124 360 3
302 104 2
302 70 4
104 91 1
104 325 2
91 200 5
91 126 1
200 275 3
200 178 1
275 378 3
275 225 3
378 207 5
378 388 2
207 88 2
207 118 2
88 222 3
88 75 1
222 143 5
222 11 5
143 112 2
143 117 2
112 391 1
112 342 1
391 278 5
391 158 2
278 365 1
278 64 3
365 188 4
365 224 3
188 66 3
188 2 1
66 380 4
66 43 2
380 100 5
380 123 2
100 72 4
100 18 2
72 168 4
360 70 2
360 298 5
70 325 4
70 310 2
325 126 4
325 77 1
126 178 5
126 314 1
178 225 1
178 297 1
225 388 5
225 209 1
388 118 5
388 326 4
118 75 4
118 32 4
75 11 2
75 130 1
11 117 2
11 352 3
117 342 5
117 106 5
342 158 2
342 291 4
158 64 5
158 268 4
64 224 2
64 213 4
224 2 1
224 44 1
2 43 2
2 374 1
43 123 3
43 161 4
123 18 4
123 318 3
18 168 2
18 58 4
168 280 2
298 310 2
298 24 1
310 77 5
310 273 5
77 314 4
77 16 2
314 297 2
314 317 4
297 209 5
297 110 4
209 326 3
209 138 2
326 32 2
326 191 4
32 130 4
32 288 1
130 352 5
130 17 1
352 106 1
352 301 4
106 291 2
106 241 3
291 268 3
291 111 2
268 213 4
268 196 3
213 44 4
213 35 5
44 374 3
44 287 5
374 161 1
374 315 5
161 318 4
161 36 5
318 58 3
318 334 5
58 280 5
58 183 5
280 50 2
24 273 5
24 7 2
273 16 3
273 103 1
16 317 5
16 176 3
317 110 1
317 140 5
110 138 5
110 386 2
138 191 1
138 42 5
191 288 4
191 367 5
288 17 4
288 23 4
17 301 1
17 276 5
301 241 3
301 164 1
241 111 2
241 321 5
111 196 1
111 304 1
196 35 3
196 114 3
35 287 3
35 238 2
287 315 3
287 15 1
315 36 1
315 142 5
36 334 1
36 195 1
334 183 5
334 37 4
183 50 3
183 98 3
50 137 5
7 103 1
103 176 5
176 140 3
140 386 3
386 42 3
42 367 2
367 23 5
23 276 5
276 164 1
164 321 5
321 304 3
304 114 1
114 238 3
238 15 1
15 142 2
142 195 3
195 37 3
37 98 2
98 137 1
