1600 3120
596 869 5
596 472 2
869 714 5
869 379 5
714 151 3
714 135 3
151 471 1
151 1337 3
471 1449 4
471 545 1
1449 667 5
1449 21 2
667 739 1
667 693 2
739 1308 4
739 172 4
1308 641 4
1308 83 5
641 223 2
641 144 4
223 1550 3
223 678 1
1550 1219 5
1550 1309 2
1219 906 3
1219 1553 2
906 644 1
906 362 3
644 1271 5
644 1507 4
1271 1305 2
1271 564 4
1305 506 1
1305 1363 4
506 1501 1
506 893 2
1501 1198 5
1501 697 5
1198 1313 5
1198 1272 5
1313 1176 1
1313 175 2
1176 892 2
1176 717 2
892 1186 4
892 1320 4
1186 945 1
1186 787 4
945 834 1
945 1161 3
834 1233 2
834 654 3
1233 1146 3
1233 147 4
1146 1596 1
1146 849 3
1596 48 3
1596 141 1
48 899 5
48 998 3
899 1595 2
899 543 5
1595 1327 4
1595 683 1
1327 597 1
1327 1189 4
597 358 4
597 1588 1
358 104 4
358 531 1
104 692 4
104 517 3
692 613 4
692 1599 5
613 511 1
613 1373 3
511 711 1
511 1490 4
711 1519 4
472 379 3
472 1262 4
379 135 2
379 176 1
135 1337 2
135 29 2
1337 545 5
1337 1130 5
545 21 5
545 1165 2
21 693 1
21 49 2
693 172 4
693 1194 5
172 83 3
172 1000 3
83 144 4
83 533 2
144 678 5
144 1433 3
678 1309 3
678 1597 4
1309 1553 5
1309 117 4
1553 362 5
1553 1494 4
362 1507 3
362 1209 5
1507 564 1
1507 339 1
564 1363 4
564 682 4
1363 893 1
1363 46 1
893 697 3
893 130 5
697 1272 5
697 283 5
1272 175 2
1272 547 1
175 717 5
175 210 1
717 1320 3
717 882 2
1320 787 1
1320 468 2
787 1161 3
787 126 4
1161 654 3
1161 1087 4
654 147 1
654 553 2
147 849 3
147 592 2
849 141 5
849 231 5
141 998 5
141 1548 2
998 543 5
998 1450 2
543 683 1
543 836 2
683 1189 3
683 872 3
1189 1588 4
1189 1478 4
1588 531 3
1588 735 2
531 517 5
531 860 5
517 1599 1
517 153 2
1599 1373 2
1599 922 1
1373 1490 5
1373 310 1
1490 1519 2
1490 1455 4
1519 701 5
1262 176 5
1262 660 2
176 29 3
176 353 5
29 1130 3
29 1249 4
1130 1165 4
1130 27 3
1165 49 1
1165 742 2
49 1194 2
49 657 1
1194 1000 5
1194 1123 2
1000 533 2
1000 338 3
533 1433 4
533 87 3
1433 1597 2
1433 1276 3
1597 117 2
1597 1041 4
117 1494 4
117 1380 2
1494 1209 4
1494 264 4
1209 339 3
1209 859 4
339 682 5
339 549 5
682 46 5
682 774 2
46 130 1
46 420 5
130 283 1
130 851 5
283 547 1
283 1423 2
547 210 4
547 1435 3
210 882 1
210 81 2
882 468 2
882 1245 1
468 126 1
468 502 2
126 1087 3
126 464 5
1087 553 4
1087 1127 5
553 592 5
553 706 2
592 231 2
592 2 5
231 1548 4
231 1390 1
1548 1450 3
1548 458 2
1450 836 2
1450 1149 3
836 872 2
836 52 2
872 1478 4
872 68 1
1478 735 5
1478 1349 1
735 860 1
735 236 3
860 153 4
860 1340 1
153 922 3
153 1242 1
922 310 1
922 1243 3
310 1455 3
310 1160 5
1455 701 4
1455 181 5
701 233 2
660 353 5
660 675 5
353 1249 3
353 861 1
1249 27 2
1249 215 1
27 742 1
27 519 4
742 657 3
742 632 4
657 1123 3
657 1446 3
1123 338 1
1123 1600 4
338 87 5
338 1317 2
87 1276 2
87 307 1
1276 1041 4
1276 1371 2
1041 1380 1
1041 1355 3
1380 264 5
1380 1177 2
264 859 2
264 969 2
859 549 4
859 1208 3
549 774 2
549 977 3
774 420 3
774 1257 3
420 851 4
420 610 4
851 1423 3
851 61 4
1423 1435 2
1423 785 5
1435 81 4
1435 925 1
81 1245 1
81 1353 2
1245 502 5
1245 1206 2
502 464 1
502 1375 4
464 1127 3
464 1330 2
1127 706 3
1127 1204 4
706 2 5
706 1116 4
2 1390 5
2 305 3
1390 458 3
1390 395 5
458 1149 2
458 159 1
1149 52 1
1149 1210 3
52 68 4
52 1484 5
68 1349 1
68 299 2
1349 236 5
1349 1379 1
236 1340 3
236 1437 1
1340 1242 5
1340 729 5
1242 1243 4
1242 865 3
1243 1160 1
1243 1303 2
1160 181 3
1160 18 4
181 233 4
181 1351 5
233 640 2
675 861 5
675 188 5
861 215 4
861 958 4
215 519 4
215 186 4
519 632 3
519 913 5
632 1446 2
632 1514 2
1446 1600 1
1446 886 1
1600 1317 4
1600 284 2
1317 307 4
1317 609 3
307 1371 3
307 558 5
1371 1355 5
1371 380 2
1355 1177 3
1355 581 3
1177 969 3
1177 51 1
969 1208 5
969 1339 3
1208 977 3
1208 382 2
977 1257 3
977 137 5
1257 610 3
1257 1179 4
610 61 3
610 994 1
61 785 3
61 901 2
785 925 4
785 1300 5
925 1353 2
925 139 3
1353 1206 4
1353 1105 4
1206 1375 4
1206 718 4
1375 1330 3
1375 873 3
1330 1204 3
1330 786 2
1204 1116 4
1204 145 5
1116 305 5
1116 185 4
305 395 5
305 316 3
395 159 3
395 84 5
159 1210 5
159 700 2
1210 1484 3
1210 684 3
1484 299 4
1484 791 1
299 1379 5
299 1125 4
1379 1437 5
1379 366 4
1437 729 3
1437 1517 5
729 865 4
729 355 2
865 1303 4
865 37 2
1303 18 3
1303 1368 1
18 1351 4
18 586 4
1351 640 4
1351 1030 5
640 703 1
188 958 1
188 494 2
958 186 4
958 199 3
186 913 1
186 1345 5
913 1514 5
913 1486 3
1514 886 4
1514 1518 5
886 284 4
886 437 1
284 609 1
284 1227 3
609 558 5
609 1534 3
558 380 3
558 938 2
380 581 2
380 820 2
581 51 3
581 409 5
51 1339 4
51 915 1
1339 382 2
1339 936 5
382 137 1
382 484 1
137 1179 1
137 364 5
1179 994 3
1179 31 5
994 901 1
994 1452 5
901 1300 3
901 855 2
1300 139 2
1300 1261 1
139 1105 2
139 1291 3
1105 718 5
1105 652 4
718 873 4
718 616 4
873 786 3
873 128 4
786 145 3
786 193 4
145 185 5
145 914 2
185 316 4
185 1585 3
316 84 2
316 22 1
84 700 5
84 824 4
700 684 1
700 912 1
684 791 3
684 854 3
791 1125 1
791 112 2
1125 366 4
1125 473 2
366 1517 4
366 637 2
1517 355 2
1517 13 2
355 37 2
355 344 5
37 1368 5
37 131 2
1368 586 2
1368 1403 1
586 1030 2
586 1584 5
1030 703 2
1030 474 4
703 510 1
494 199 4
494 1126 1
199 1345 4
199 1277 3
1345 1486 1
1345 767 1
1486 1518 2
1486 1586 5
1518 437 4
1518 430 1
437 1227 2
437 773 4
1227 1534 2
1227 238 1
1534 938 1
1534 1562 1
938 820 2
938 579 5
820 409 3
820 24 4
409 915 5
409 70 1
915 936 2
915 784 1
936 484 4
936 794 5
484 364 1
484 1424 4
364 31 3
364 431 3
31 1452 1
31 279 1
1452 855 4
1452 249 1
855 1261 3
855 1544 2
1261 1291 1
1261 1426 5
1291 652 1
1291 1158 1
652 616 5
652 99 4
616 128 4
616 1278 4
128 193 4
128 554 5
193 914 3
193 1284 4
914 1585 3
914 1122 3
1585 22 1
1585 454 2
22 824 5
22 1538 1
824 912 4
824 804 4
912 854 1
912 493 5
854 112 4
854 341 2
112 473 5
112 574 3
473 637 2
473 907 1
637 13 2
637 848 3
13 344 3
13 1333 3
344 131 1
344 44 2
131 1403 5
131 132 1
1403 1584 1
1403 658 4
1584 474 5
1584 1555 3
474 510 1
474 15 5
510 582 5
1126 1277 1
1126 204 4
1277 767 5
1277 984 3
767 1586 4
767 1539 1
1586 430 5
1586 1523 2
430 773 4
430 232 2
773 238 3
773 1132 2
238 1562 3
238 1567 5
1562 579 1
1562 1493 1
579 24 5
579 143 3
24 70 5
24 689 1
70 784 4
70 1108 2
784 794 3
784 368 5
794 1424 5
794 1520 3
1424 431 5
1424 946 5
431 279 1
431 1075 3
279 249 3
279 1060 4
249 1544 5
249 92 1
1544 1426 1
1544 681 1
1426 1158 2
1426 603 3
1158 99 1
1158 187 3
99 1278 2
99 648 1
1278 554 3
1278 798 5
554 1284 2
554 253 5
1284 1122 4
1284 381 4
1122 454 3
1122 1071 4
454 1538 4
454 721 4
1538 804 2
1538 665 4
804 493 5
804 1006 2
493 341 4
493 9 4
341 574 4
341 694 4
574 907 4
574 54 4
907 848 2
907 1594 1
848 1333 3
848 407 5
1333 44 5
1333 1018 3
44 132 5
44 1463 3
132 658 3
132 1582 2
658 1555 1
658 294 2
1555 15 4
1555 1268 2
15 582 4
15 372 1
582 768 1
204 984 3
204 1232 3
984 1539 2
984 416 1
1539 1523 2
1539 394 3
1523 232 4
1523 594 1
232 1132 4
232 1392 3
1132 1567 4
1132 477 5
1567 1493 1
1567 1178 2
1493 143 3
1493 1196 3
143 689 1
143 470 3
689 1108 4
689 723 1
1108 368 1
1108 1474 5
368 1520 5
368 1015 3
1520 946 2
1520 695 4
946 1075 2
946 285 4
1075 1060 4
1075 982 1
1060 92 4
1060 1497 4
92 681 2
92 101 5
681 603 2
681 1106 4
603 187 4
603 158 1
187 648 2
187 972 1
648 798 3
648 797 5
798 253 2
798 928 1
253 381 5
253 149 5
381 1071 4
381 58 2
1071 721 3
1071 1476 4
721 665 3
721 1542 2
665 1006 3
665 67 2
1006 9 2
1006 221 4
9 694 4
9 445 4
694 54 2
694 169 1
54 1594 4
54 778 3
1594 407 2
1594 1335 4
407 1018 2
407 1283 2
1018 1463 2
1018 136 4
1463 1582 2
1463 1266 5
1582 294 2
1582 1084 1
294 1268 4
294 1236 5
1268 372 1
1268 866 1
372 768 3
372 78 2
768 727 5
1232 416 3
1232 1472 3
416 394 1
416 1341 5
394 594 2
394 1475 5
594 1392 4
594 1086 5
1392 477 1
1392 749 4
477 1178 1
477 224 1
1178 1196 1
1178 910 2
1196 470 5
1196 1591 2
470 723 2
470 220 3
723 1474 4
723 198 4
1474 1015 3
1474 1481 3
1015 695 5
1015 217 1
695 285 1
695 432 4
285 982 2
285 1480 1
982 1497 1
982 746 4
1497 101 2
1497 214 3
101 1106 5
101 1557 2
1106 158 3
1106 1170 5
158 972 1
158 656 4
972 797 4
972 1533 2
797 928 1
797 1091 1
928 149 3
928 876 2
149 58 3
149 1102 5
58 1476 2
58 1281 3
1476 1542 2
1476 357 1
1542 67 4
1542 1420 5
67 221 1
67 832 3
221 445 4
221 685 5
445 169 3
445 124 5
169 778 2
169 1415 3
778 1335 4
778 111 2
1335 1283 4
1335 1031 4
1283 136 5
1283 1383 2
136 1266 5
136 293 2
1266 1084 3
1266 1348 1
1084 1236 4
1084 970 4
1236 866 3
1236 951 3
