49 84
24 33 2
24 26 5
33 47 5
33 21 5
47 39 4
47 30 5
39 6 4
39 18 2
6 49 1
6 38 1
49 35 1
49 19 4
35 8 4
26 21 3
26 5 5
21 30 3
21 40 1
30 18 1
30 28 2
18 38 4
18 45 3
38 19 4
38 46 5
19 8 1
19 10 4
8 32 5
5 40 4
5 22 1
40 28 2
40 25 3
28 45 4
28 41 3
45 46 5
45 17 1
46 10 1
46 42 4
10 32 1
10 29 1
32 16 5
22 25 4
22 4 4
25 41 1
25 44 2
41 17 1
41 31 2
17 42 1
17 27 5
42 29 4
42 11 1
29 16 1
29 43 5
16 7 3
4 44 5
4 12 4
44 31 5
44 23 3
31 27 4
31 20 4
27 11 1
27 36 3
11 43 3
11 1 2
43 7 5
43 13 2
7 15 2
12 23 5
12 48 3
23 20 2
23 3 5
20 36 3
20 37 4
36 1 5
36 34 4
1 13 4
1 2 3
13 15 3
13 14 5
15 9 4
48 3 4
3 37 2
37 34 1
34 2 5
2 14 5
14 9 4
