784 1512
351 777 5
351 151 2
777 555 5
777 132 1
555 701 5
555 52 4
701 689 3
701 298 2
689 545 3
689 575 2
545 668 3
545 10 5
668 407 1
668 261 3
407 708 3
407 751 4
708 606 4
708 420 4
606 773 5
606 39 1
773 238 4
773 30 3
238 205 3
238 56 5
205 521 4
205 468 4
521 137 5
521 533 1
137 446 3
137 729 5
446 97 1
446 108 4
97 219 2
97 220 3
219 650 1
219 364 1
650 84 1
650 93 3
84 752 2
84 620 4
752 762 4
752 177 2
762 465 1
762 153 4
465 181 1
465 648 2
181 463 4
181 272 2
463 101 3
463 586 2
101 8 1
101 693 4
8 489 4
8 661 5
489 31 2
151 132 1
151 605 4
132 52 3
132 116 3
52 298 2
52 99 5
298 575 1
298 695 1
575 10 1
575 431 2
10 261 4
10 631 2
261 751 5
261 117 2
751 420 1
751 200 5
420 39 5
420 400 3
39 30 2
39 494 5
30 56 5
30 29 3
56 468 5
56 331 5
468 533 1
468 174 4
533 729 5
533 244 2
729 108 3
729 775 2
108 220 2
108 249 4
220 364 5
220 102 2
364 93 2
364 260 4
93 620 1
93 483 4
620 177 3
620 388 1
177 153 3
177 72 3
153 648 3
153 78 4
648 272 4
648 738 1
272 586 5
272 479 3
586 693 4
586 316 3
693 661 2
693 728 5
661 31 4
661 1 5
31 731 5
605 116 2
605 761 2
116 99 5
116 152 5
99 695 4
99 246 4
695 431 4
695 223 5
431 631 1
431 697 1
631 117 4
631 551 4
117 200 2
117 472 1
200 400 2
200 37 3
400 494 5
400 62 3
494 29 5
494 523 1
29 331 2
29 630 4
331 174 4
331 679 5
174 244 1
174 733 1
244 775 2
244 357 2
775 249 1
775 684 1
249 102 4
249 513 2
102 260 4
102 361 5
260 483 4
260 624 5
483 388 4
483 67 5
388 72 4
388 186 5
72 78 1
72 368 5
78 738 2
78 437 5
738 479 5
738 277 5
479 316 4
479 514 1
316 728 3
316 546 2
728 1 1
728 226 2
1 731 3
1 734 5
731 760 1
761 152 3
761 26 3
152 246 2
152 92 5
246 223 2
246 339 1
223 697 3
223 194 4
697 551 5
697 480 5
551 472 2
551 13 3
472 37 5
472 329 5
37 62 3
37 706 3
62 523 4
62 425 5
523 630 3
523 571 5
630 679 3
630 447 1
679 733 3
679 674 1
733 357 5
733 251 1
357 684 3
357 180 1
684 513 5
684 552 3
513 361 2
513 306 5
361 624 4
361 456 2
624 67 4
624 320 2
67 186 1
67 515 2
186 368 5
186 460 2
368 437 1
368 615 5
437 277 1
437 633 1
277 514 2
277 369 4
514 546 3
514 335 4
546 226 1
546 746 1
226 734 5
226 311 3
734 760 2
734 148 3
760 682 1
26 92 3
26 608 3
92 339 4
92 510 2
339 194 1
339 165 3
194 480 5
194 585 4
480 13 2
480 470 4
13 329 4
13 49 4
329 706 2
329 172 2
706 425 5
706 765 4
425 571 2
425 780 3
571 447 1
571 15 1
447 674 2
447 87 3
674 251 4
674 7 4
251 180 2
251 720 1
180 552 1
180 218 3
552 306 1
552 282 3
306 456 1
306 740 3
456 320 3
456 570 3
320 515 2
320 305 4
515 460 5
515 566 2
460 615 5
460 671 5
615 633 5
615 464 3
633 369 3
633 121 2
369 335 1
369 237 2
335 746 4
335 428 1
746 311 4
746 143 4
311 148 5
311 712 2
148 682 1
148 233 1
682 423 4
608 510 4
608 129 4
510 165 3
510 155 3
165 585 1
165 499 4
585 470 1
585 531 3
470 49 4
470 61 5
49 172 4
49 439 5
172 765 1
172 231 3
765 780 4
765 440 1
780 15 5
780 289 3
15 87 5
15 422 1
87 7 2
87 778 5
7 720 3
7 362 3
720 218 5
720 542 1
218 282 5
218 410 5
282 740 1
282 574 3
740 570 5
740 560 5
570 305 1
570 391 4
305 566 5
305 21 1
566 671 5
566 399 1
671 464 2
671 279 1
464 121 4
464 225 4
121 237 4
121 327 1
237 428 1
237 239 4
428 143 1
428 601 5
143 712 4
143 743 4
712 233 2
712 687 1
233 423 3
233 418 2
423 141 1
129 155 2
129 242 5
155 499 4
155 254 2
499 531 1
499 477 3
531 61 1
531 405 1
61 439 5
61 125 5
439 231 4
439 401 5
231 440 4
231 60 2
440 289 4
440 675 2
289 422 1
289 517 2
422 778 1
422 626 5
778 362 5
778 625 3
362 542 1
362 666 5
542 410 4
542 352 5
410 574 3
410 597 5
574 560 1
574 45 3
560 391 2
560 136 4
391 21 5
391 310 5
21 399 4
21 232 5
399 279 4
399 41 5
279 225 2
279 203 3
225 327 2
225 65 5
327 239 3
327 784 5
239 601 1
239 409 1
601 743 5
601 354 4
743 687 3
743 660 2
687 418 5
687 133 2
418 141 4
418 299 2
141 139 3
242 254 4
242 122 1
254 477 3
254 47 1
477 405 4
477 394 4
405 125 2
405 185 5
125 401 5
125 54 2
401 60 5
401 547 2
60 675 3
60 726 5
675 517 4
675 353 1
517 626 3
517 540 5
626 625 4
626 345 2
625 666 4
625 160 2
666 352 3
666 286 2
352 597 1
352 502 2
597 45 5
597 381 1
45 136 3
45 313 2
136 310 1
136 568 1
310 232 5
310 245 5
232 41 3
232 169 3
41 203 1
41 573 3
203 65 5
203 144 4
65 784 1
65 578 3
784 409 2
784 173 1
409 354 1
409 589 2
354 660 1
354 120 4
660 133 1
660 3 4
133 299 3
133 619 2
299 139 3
299 46 3
139 36 4
122 47 3
122 145 4
47 394 3
47 396 1
394 185 1
394 643 4
185 54 4
185 157 2
54 547 4
54 518 1
547 726 1
547 632 2
726 353 4
726 537 1
353 540 4
353 611 4
540 345 2
540 613 4
345 160 2
345 227 5
160 286 1
160 111 1
286 502 5
286 300 1
502 381 4
502 421 3
381 313 3
381 559 4
313 568 1
313 744 5
568 245 5
568 175 1
245 169 5
245 604 1
169 573 5
169 308 3
573 144 5
573 290 5
144 578 3
144 497 2
578 173 5
578 539 1
173 589 2
173 462 4
589 120 3
589 98 3
120 3 3
120 303 4
3 619 2
3 599 3
619 46 2
619 212 2
46 36 1
46 700 2
36 640 2
145 396 4
145 337 1
396 643 5
396 193 2
643 157 1
643 81 3
157 518 3
157 569 1
518 632 2
518 709 3
632 537 4
632 781 2
537 611 4
537 209 4
611 613 2
611 257 1
613 227 3
613 416 5
227 111 2
227 772 1
111 300 3
111 146 1
300 421 5
300 685 4
421 559 4
421 621 4
559 744 2
559 395 5
744 175 2
744 51 2
175 604 2
175 91 5
604 308 5
604 355 5
308 290 2
308 374 5
290 497 4
290 73 4
497 539 5
497 109 4
539 462 2
539 69 4
462 98 2
462 372 5
98 303 4
98 322 3
303 599 3
303 711 3
599 212 1
599 346 5
212 700 1
212 473 5
700 640 1
700 664 5
640 156 4
337 193 5
337 332 3
193 81 2
193 558 5
81 569 2
81 131 5
569 709 1
569 221 2
709 781 5
709 614 3
781 209 5
781 34 3
209 257 2
209 195 4
257 416 1
257 724 4
416 772 4
416 770 5
772 146 3
772 341 2
146 685 1
146 769 1
685 621 2
685 667 1
621 395 4
621 767 4
395 51 2
395 59 5
51 91 3
51 583 2
91 355 2
91 471 2
355 374 3
355 44 2
374 73 1
374 262 1
73 109 5
73 580 5
109 69 1
109 596 4
69 372 5
69 253 3
372 322 2
372 749 3
322 711 2
322 678 3
711 346 1
711 445 3
346 473 5
346 475 3
473 664 3
473 214 5
664 156 4
664 435 3
156 126 4
332 558 5
332 236 5
558 131 3
558 281 3
131 221 1
131 154 5
221 614 2
221 730 2
614 34 3
614 403 1
34 195 2
34 686 5
195 724 3
195 646 2
724 770 2
724 27 5
770 341 5
770 344 4
341 769 2
341 179 3
769 667 1
769 617 4
667 767 3
667 274 5
767 59 3
767 567 1
59 583 2
59 424 3
583 471 3
583 230 4
471 44 4
471 528 3
44 262 4
44 756 5
262 580 5
262 680 1
580 596 5
580 85 3
596 253 1
596 705 5
253 749 1
253 80 4
749 678 4
749 694 1
678 445 2
678 48 5
445 475 1
445 164 4
475 214 5
475 677 5
214 435 5
214 723 5
435 126 3
435 442 2
126 283 1
236 281 2
236 715 1
281 154 2
281 259 3
154 730 1
154 161 1
730 403 1
730 75 5
403 686 5
403 426 5
686 646 4
686 759 4
646 27 2
646 201 1
27 344 4
27 582 2
344 179 2
344 717 1
179 617 2
179 609 2
617 274 2
617 130 2
274 567 1
274 768 5
567 424 4
567 294 5
424 230 2
424 296 4
230 528 5
230 235 1
528 756 3
528 204 1
756 680 3
756 119 4
680 85 4
680 338 1
